XCoord	YCoord	V	A	T	DeltaV	DeltaA
565932.9	1856535.56	1972.810	-0.009	0.000	191.584	0.087
565932.9	1856535.56	1998.941	-0.008	0.100	198.558	0.087
565932.9	1856535.56	2033.324	-0.006	0.200	207.735	0.087
565932.9	1856535.56	2067.706	-0.005	0.300	216.912	0.087
565932.9	1856535.56	2102.089	-0.003	0.400	226.089	0.087
565932.9	1856535.56	2136.472	-0.002	0.500	235.265	0.087
565932.9	1856535.56	2170.854	-0.0	0.600	244.442	0.087
565932.9	1856535.56	2205.237	0.002	0.700	253.619	0.087
565932.9	1856535.56	2254.563	0.002	0.800	261.872	0.135
565932.9	1856535.56	2326.475	0.002	0.900	268.728	0.254
565932.9	1856535.56	2398.387	0.001	1.000	275.585	0.374
565932.9	1856535.56	2470.300	0.0	1.100	282.441	0.493
565932.9	1856535.56	2486.250	0.0	1.200	283.962	0.52
565932.9	1856535.56	2486.250	0.0	1.300	283.962	0.52
565932.9	1856535.56	2486.250	0.0	1.400	283.962	0.52
565932.9	1856535.56	2486.250	0.0	1.500	283.962	0.52
565932.9	1856535.56	3133.340	0.0	1.872	641.958	0.52
565932.9	1856535.56	3864.410	0.0	2.352	876.068	0.52
565932.9	1856535.56	5849.600	0.0	3.935	1512.02	0.52
564792.95	1854993.27	1965.600	-0.001	0.000	249.25	0.087
564792.95	1854993.27	2002.184	-0.001	0.100	253.501	0.087
564792.95	1854993.27	2051.527	-0.002	0.200	259.235	0.087
564792.95	1854993.27	2100.869	-0.002	0.300	264.969	0.087
564792.95	1854993.27	2150.212	-0.003	0.400	270.703	0.087
564792.95	1854993.27	2199.554	-0.003	0.500	276.437	0.087
564792.95	1854993.27	2248.897	-0.004	0.600	282.171	0.087
564792.95	1854993.27	2298.239	-0.004	0.700	287.905	0.087
564792.95	1854993.27	2346.662	-0.003	0.800	293.703	0.087
564792.95	1854993.27	2394.604	-0.002	0.900	299.534	0.087
564792.95	1854993.27	2442.547	-0.001	1.000	305.365	0.087
564792.95	1854993.27	2478.810	0.0	1.100	309.776	0.087
564792.95	1854993.27	2478.810	0.0	1.200	309.776	0.087
564792.95	1854993.27	2478.810	0.0	1.300	309.776	0.087
564792.95	1854993.27	2478.810	0.0	1.400	309.776	0.087
564792.95	1854993.27	2478.810	0.0	1.500	309.776	0.087
564792.95	1854993.27	3150.400	0.0	1.862	574.395	0.52
564792.95	1854993.27	3688.130	0.0	2.308	724.313	0.52
564792.95	1854993.27	4850.340	0.0	3.064	1179.78	0.52
564792.95	1854993.27	5928.000	0.0	3.976	1512.96	0.52
563317.72	1853518.04	1933.620	-0.005	0.000	281.484	0.087
563317.72	1853518.04	1972.413	-0.005	0.100	283.707	0.087
563317.72	1853518.04	2023.457	-0.004	0.200	286.632	0.087
563317.72	1853518.04	2074.501	-0.004	0.300	289.558	0.087
563317.72	1853518.04	2125.545	-0.004	0.400	292.483	0.087
563317.72	1853518.04	2176.589	-0.003	0.500	295.408	0.087
563317.72	1853518.04	2227.633	-0.003	0.600	298.333	0.087
563317.72	1853518.04	2278.677	-0.003	0.700	301.259	0.087
563317.72	1853518.04	2332.819	-0.002	0.800	304.182	0.087
563317.72	1853518.04	2406.139	-0.001	0.900	307.096	0.087
563317.72	1853518.04	2479.458	-0.0	1.000	310.01	0.087
563317.72	1853518.04	2516.000	0.0	1.100	311.462	0.087
563317.72	1853518.04	2516.000	0.0	1.200	311.462	0.087
563317.72	1853518.04	2516.000	0.0	1.300	311.462	0.087
563317.72	1853518.04	2516.000	0.0	1.400	311.462	0.087
563317.72	1853518.04	2516.000	0.0	1.500	311.462	0.087
563317.72	1853518.04	3014.330	0.0	1.893	534.046	0.52
563317.72	1853518.04	3634.700	0.0	2.308	655.791	0.52
563317.72	1853518.04	4888.140	0.0	3.064	1216.61	0.52
563317.72	1853518.04	5748.800	0.0	3.961	1514.88	0.52
567810.47	1857742.56	1943.290	0.0	0.000	188.132	0.087
567810.47	1857742.56	1967.305	0.0	0.100	194.273	0.087
